                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1133,                 1.8995,                 1.3643,                0.59199,                0.49893,                0.53077,                0.35266,                 1.1708,                 1.9162,                 1.4783,             0.00036794,             0.00036794,             0.00036794
                      2,                 1.1161,                 1.2273,                 1.3603,                0.70322,                0.61168,                0.68017,                0.44833,                 1.1957,                 1.5168,                 1.5364,             0.00072366,             0.00072366,             0.00072366
                      3,                 1.1942,                  1.286,                 1.4221,                 0.5916,                0.59171,                0.61093,                0.40094,                 1.1968,                 2.7608,                 1.6137,              0.0010647,              0.0010647,              0.0010647
                      4,                 1.1538,                 1.2186,                 1.4011,                0.73277,                 0.6552,                0.72373,                0.47401,                 1.1729,                 1.3276,                 1.4798,               0.001045,               0.001045,               0.001045
                      5,                 1.1145,                 1.0895,                 1.3631,                0.72749,                0.70203,                0.76982,                0.53876,                 1.0515,                 1.1974,                 1.3689,               0.001023,               0.001023,               0.001023
                      6,                 1.0642,                 0.9835,                 1.3257,                0.79805,                0.77014,                0.82282,                0.58209,                 1.0152,                0.94212,                 1.3632,               0.001001,               0.001001,               0.001001
                      7,                  1.038,                0.93279,                  1.313,                0.80403,                0.79967,                0.83727,                0.60077,                 0.9664,                 0.8832,                 1.3101,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0021,                0.89164,                 1.2883,                0.78997,                0.78899,                0.83853,                0.59244,                0.98212,                0.87168,                 1.3236,             0.00095702,             0.00095702,             0.00095702
                      9,                0.99641,                0.85737,                 1.2806,                0.82392,                0.76541,                0.83212,                0.60743,                0.93316,                 0.8358,                 1.3056,             0.00093502,             0.00093502,             0.00093502
                     10,                0.96572,                0.80061,                  1.258,                0.85612,                0.81451,                0.88214,                0.64455,                0.91927,                0.72752,                 1.2923,             0.00091302,             0.00091302,             0.00091302
                     11,                0.94162,                0.79906,                  1.247,                0.84971,                0.76485,                0.84735,                0.60745,                0.95464,                0.79354,                 1.3232,             0.00089102,             0.00089102,             0.00089102
                     12,                0.92288,                0.76368,                 1.2364,                0.85018,                0.78339,                0.86452,                0.63763,                0.91323,                 0.7501,                 1.2707,             0.00086902,             0.00086902,             0.00086902
                     13,                0.89749,                0.73513,                 1.2233,                0.85465,                0.82695,                0.88287,                0.66606,                0.90355,                0.69275,                 1.2754,             0.00084703,             0.00084703,             0.00084703
                     14,                0.88872,                0.70429,                 1.2096,                0.88271,                0.81683,                0.89231,                0.65393,                0.91896,                0.68761,                 1.3113,             0.00082503,             0.00082503,             0.00082503
                     15,                0.87927,                0.69423,                 1.2098,                0.86709,                0.83119,                 0.8938,                0.66735,                0.89281,                0.64632,                 1.2697,             0.00080303,             0.00080303,             0.00080303
                     16,                0.86624,                0.68062,                 1.1909,                0.85114,                0.85787,                0.90222,                0.67758,                0.88242,                0.65155,                 1.2393,             0.00078103,             0.00078103,             0.00078103
                     17,                0.84897,                0.65897,                  1.191,                0.86625,                0.84558,                0.89912,                0.67469,                0.86083,                0.65518,                 1.2321,             0.00075904,             0.00075904,             0.00075904
                     18,                 0.8513,                0.65606,                 1.1823,                0.87412,                0.82864,                0.88362,                0.67359,                 0.8704,                 0.6521,                 1.2612,             0.00073704,             0.00073704,             0.00073704
                     19,                0.83862,                0.62643,                 1.1652,                 0.8673,                0.85796,                 0.9019,                0.68531,                0.85419,                0.61621,                 1.2327,             0.00071504,             0.00071504,             0.00071504
                     20,                0.82663,                0.60802,                 1.1625,                0.87475,                0.86581,                0.91516,                0.68783,                0.87065,                0.60057,                 1.2816,             0.00069304,             0.00069304,             0.00069304
                     21,                0.82505,                0.61715,                 1.1658,                0.89104,                 0.8359,                0.90728,                0.70232,                0.84106,                0.59645,                 1.2054,             0.00067104,             0.00067104,             0.00067104
                     22,                0.79169,                 0.5828,                 1.1435,                0.87416,                0.83824,                0.90182,                 0.6896,                0.83469,                0.60867,                 1.2126,             0.00064905,             0.00064905,             0.00064905
                     23,                0.78806,                0.58038,                 1.1381,                0.87132,                0.84885,                0.89945,                0.68955,                0.86017,                 0.6147,                  1.241,             0.00062705,             0.00062705,             0.00062705
                     24,                0.77645,                0.55736,                 1.1317,                0.85309,                0.88125,                0.90363,                0.69297,                0.84905,                0.58651,                 1.2383,             0.00060505,             0.00060505,             0.00060505
                     25,                0.76913,                0.55687,                 1.1279,                 0.8939,                0.86306,                0.91083,                0.69213,                0.84545,                0.58887,                 1.2186,             0.00058305,             0.00058305,             0.00058305
                     26,                0.76184,                0.54901,                 1.1235,                0.87907,                0.83565,                0.90173,                0.69525,                 0.8437,                0.58958,                 1.2168,             0.00056105,             0.00056105,             0.00056105
                     27,                 0.7436,                 0.5229,                 1.1131,                0.88038,                0.87317,                0.91038,                 0.7018,                0.84113,                0.57414,                 1.2335,             0.00053906,             0.00053906,             0.00053906
                     28,                0.73615,                0.51404,                 1.1088,                0.89567,                0.84801,                0.90993,                 0.7015,                  0.835,                 0.5622,                 1.2329,             0.00051706,             0.00051706,             0.00051706
                     29,                0.73372,                0.50467,                 1.0966,                0.90294,                 0.8519,                0.90798,                0.70284,                0.81302,                0.55569,                 1.2032,             0.00049506,             0.00049506,             0.00049506
                     30,                0.71682,                0.49271,                 1.0881,                0.90431,                0.87618,                0.91825,                 0.7091,                0.84289,                 0.5551,                 1.2298,             0.00047306,             0.00047306,             0.00047306
                     31,                0.70999,                0.48437,                 1.0825,                 0.9165,                0.85273,                0.92007,                0.71883,                0.80014,                0.54092,                 1.1957,             0.00045107,             0.00045107,             0.00045107
                     32,                0.69746,                0.47391,                 1.0779,                0.90209,                0.87421,                0.91349,                0.70775,                0.82156,                0.54107,                 1.2347,             0.00042907,             0.00042907,             0.00042907
                     33,                0.69147,                0.47133,                 1.0832,                0.88421,                0.87931,                0.91376,                0.72454,                0.79969,                0.53325,                 1.1935,             0.00040707,             0.00040707,             0.00040707
                     34,                0.68281,                 0.4609,                 1.0725,                0.87192,                0.88856,                0.92451,                0.72111,                0.82068,                0.52891,                 1.2179,             0.00038507,             0.00038507,             0.00038507
                     35,                0.66857,                0.45554,                 1.0679,                0.90378,                0.86057,                  0.921,                0.72124,                0.79808,                0.52143,                 1.2031,             0.00036307,             0.00036307,             0.00036307
                     36,                0.66357,                0.44371,                 1.0635,                 0.9093,                0.86775,                0.92979,                0.72605,                0.80332,                0.53198,                 1.1999,             0.00034108,             0.00034108,             0.00034108
                     37,                0.64663,                0.43223,                 1.0452,                0.89424,                0.88307,                0.92139,                0.72924,                0.77646,                0.50629,                 1.1866,             0.00031908,             0.00031908,             0.00031908
                     38,                0.63847,                0.41801,                  1.044,                0.93579,                0.85128,                0.92326,                0.73018,                0.77988,                0.49782,                 1.1871,             0.00029708,             0.00029708,             0.00029708
                     39,                0.63096,                0.41885,                 1.0405,                 0.8983,                0.87704,                0.93027,                0.73321,                0.78584,                0.50527,                 1.1998,             0.00027508,             0.00027508,             0.00027508
                     40,                0.62193,                 0.4166,                 1.0316,                0.92111,                0.87154,                0.92987,                0.74101,                0.77515,                0.50078,                 1.1774,             0.00025309,             0.00025309,             0.00025309
                     41,                0.56552,                0.33652,                0.97907,                0.91948,                0.85824,                0.92174,                0.73031,                0.78734,                0.52294,                 1.2042,             0.00023109,             0.00023109,             0.00023109
                     42,                0.55239,                0.32183,                0.96909,                0.89874,                0.87942,                0.91938,                0.73481,                0.78126,                0.50422,                 1.1948,             0.00020909,             0.00020909,             0.00020909
                     43,                0.53496,                0.30543,                0.95852,                0.94429,                0.84421,                0.92787,                0.73136,                0.79121,                0.50958,                 1.1994,             0.00018709,             0.00018709,             0.00018709
                     44,                0.52369,                0.29678,                0.95296,                0.90799,                0.87177,                0.92759,                0.73625,                0.79464,                0.52273,                 1.2129,             0.00016509,             0.00016509,             0.00016509
                     45,                0.50612,                0.29105,                0.94486,                 0.9124,                0.87343,                0.92661,                0.73808,                0.78789,                0.51167,                 1.2234,              0.0001431,              0.0001431,              0.0001431
                     46,                0.50206,                0.28653,                0.93467,                0.90766,                 0.8771,                0.92773,                0.73493,                0.78194,                0.50249,                 1.2168,              0.0001211,              0.0001211,              0.0001211
                     47,                0.49191,                0.27866,                0.93483,                0.91337,                0.86339,                0.92488,                0.73393,                0.78098,                 0.5251,                 1.2119,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.47819,                0.27018,                0.92398,                 0.9283,                0.86161,                0.92718,                0.74173,                0.77836,                 0.5302,                 1.2036,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.47247,                0.26716,                0.91549,                0.93084,                0.85385,                0.92949,                0.74264,                0.78269,                0.51743,                 1.2096,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.46632,                0.26379,                0.91633,                0.92926,                0.86011,                0.92891,                0.74423,                0.77751,                0.51596,                 1.2073,             3.3108e-05,             3.3108e-05,             3.3108e-05
