                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.69579,                 0.4929,                 0.9805,                0.90719,                0.85127,                0.91241,                0.70444,                0.84062,                0.61149,                 1.0402,             0.00036307,             0.00036307,             0.00036307
                     36,                0.68156,                0.48427,                0.97193,                0.90197,                0.87374,                0.91513,                0.70277,                0.83369,                0.59883,                 1.0323,             0.00034108,             0.00034108,             0.00034108
                     37,                0.66466,                 0.4681,                0.96205,                0.90879,                0.85135,                0.91726,                0.70895,                0.83587,                0.58777,                 1.0415,             0.00031908,             0.00031908,             0.00031908
                     38,                0.66134,                0.45934,                0.96112,                0.92147,                0.86262,                0.92045,                0.71404,                0.82704,                0.56143,                 1.0458,             0.00029708,             0.00029708,             0.00029708
                     39,                0.65291,                0.45512,                0.95803,                  0.923,                0.86212,                0.91555,                  0.722,                0.82475,                0.57092,                 1.0477,             0.00027508,             0.00027508,             0.00027508
                     40,                0.64413,                 0.4512,                0.95088,                  0.923,                0.85346,                0.91704,                0.71037,                0.81894,                0.59831,                   1.03,             0.00025309,             0.00025309,             0.00025309
                     41,                 0.5934,                0.37916,                0.90194,                0.91374,                0.87097,                0.92441,                0.72359,                0.81363,                0.56571,                 1.0314,             0.00023109,             0.00023109,             0.00023109
                     42,                0.57161,                0.36139,                0.89338,                0.92891,                0.85241,                0.92302,                0.72679,                0.81616,                0.56124,                 1.0322,             0.00020909,             0.00020909,             0.00020909
                     43,                0.56194,                 0.3535,                0.88797,                0.91701,                0.87961,                0.92241,                0.72147,                0.81998,                0.58531,                 1.0407,             0.00018709,             0.00018709,             0.00018709
                     44,                0.54704,                0.34251,                0.88405,                 0.9272,                0.86513,                0.92259,                0.72712,                0.81655,                0.59786,                 1.0257,             0.00016509,             0.00016509,             0.00016509
                     45,                 0.5276,                 0.3346,                0.87351,                 0.9331,                0.86305,                0.92164,                0.73081,                0.80352,                0.57944,                 1.0209,              0.0001431,              0.0001431,              0.0001431
                     46,                0.51721,                0.32823,                0.86908,                0.91899,                0.86758,                0.92569,                0.72929,                0.81414,                0.59805,                   1.03,              0.0001211,              0.0001211,              0.0001211
                     47,                0.50688,                0.32078,                0.87052,                0.93472,                0.84835,                0.92616,                0.73115,                0.81418,                0.58167,                 1.0315,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.49525,                0.31214,                0.86743,                0.91472,                0.87216,                0.92055,                0.72526,                0.81043,                0.59646,                 1.0268,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.49125,                0.30985,                0.86339,                0.90141,                0.87966,                0.92414,                0.72479,                0.81164,                 0.5856,                 1.0331,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.48246,                0.30428,                0.85962,                0.91514,                0.87595,                  0.924,                0.73217,                0.80916,                0.58788,                 1.0332,             3.3108e-05,             3.3108e-05,             3.3108e-05
