                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73826,                0.53988,                0.99552,                0.89891,                 0.8564,                0.91189,                0.71295,                0.83949,                0.56133,                 1.0528,             0.00036307,             0.00036307,             0.00036307
                     36,                0.74224,                0.53941,                0.99813,                0.90947,                0.86334,                0.91871,                0.70246,                0.87633,                0.56223,                 1.0816,             0.00034108,             0.00034108,             0.00034108
                     37,                0.74021,                0.53149,                  0.999,                0.91558,                0.84817,                0.90731,                0.70361,                0.86075,                0.56389,                 1.0798,             0.00031908,             0.00031908,             0.00031908
                     38,                0.71044,                 0.5066,                 0.9823,                0.91169,                0.85619,                0.91321,                0.71209,                0.83964,                0.55768,                 1.0594,             0.00029708,             0.00029708,             0.00029708
                     39,                0.71261,                0.50762,                0.98773,                0.90867,                0.86531,                0.91406,                0.70876,                0.85105,                0.55927,                 1.0784,             0.00027508,             0.00027508,             0.00027508
                     40,                 0.6999,                0.49617,                0.97738,                0.90509,                0.86636,                0.91558,                0.71643,                0.83272,                0.56025,                 1.0712,             0.00025309,             0.00025309,             0.00025309
                     41,                0.64777,                0.42114,                0.93156,                0.88495,                0.85692,                0.90864,                0.70864,                0.84615,                0.55776,                 1.0747,             0.00023109,             0.00023109,             0.00023109
                     42,                0.62229,                0.39553,                0.92203,                0.91513,                0.83163,                 0.9106,                0.71103,                 0.8497,                0.55509,                 1.0769,             0.00020909,             0.00020909,             0.00020909
                     43,                0.61597,                0.38953,                0.91458,                0.88845,                0.87034,                0.91536,                0.71139,                0.84471,                0.55592,                 1.0771,             0.00018709,             0.00018709,             0.00018709
                     44,                0.59952,                0.38062,                0.91154,                0.87703,                0.88375,                0.90779,                0.71236,                0.84326,                0.56255,                 1.0771,             0.00016509,             0.00016509,             0.00016509
                     45,                0.58793,                0.36767,                0.90225,                0.88464,                0.87721,                0.90714,                  0.714,                 0.8423,                0.56859,                 1.0735,              0.0001431,              0.0001431,              0.0001431
                     46,                0.57637,                0.36259,                0.89969,                0.88928,                0.86622,                0.90493,                0.71407,                0.83774,                0.58321,                 1.0748,              0.0001211,              0.0001211,              0.0001211
                     47,                0.56682,                 0.3523,                0.89329,                0.88385,                0.87322,                0.90574,                0.71688,                0.84195,                0.57208,                 1.0814,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.55946,                0.34538,                   0.89,                0.89775,                 0.8591,                0.90502,                0.71632,                0.83454,                0.55648,                  1.071,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.55977,                0.34529,                0.89136,                0.90147,                0.86964,                0.90994,                0.72146,                0.83321,                0.55941,                 1.0794,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 0.5498,                0.34263,                0.88454,                0.89028,                0.87314,                0.90817,                0.72039,                0.83289,                0.55992,                 1.0761,             3.3108e-05,             3.3108e-05,             3.3108e-05
